experiment,horizon,model,mae,rmse,r2,mard,tir,clarke_a,train_samples,test_samples
AZT1D->AZT1D,30m,LinearRegression,19.193867501078042,25.460221192158084,0.7551546745981047,12.377674113583161,59.84898227183191,81.74655285620486,12131,3046
AZT1D->AZT1D,30m,RandomForest,17.20565625467654,23.432844559056516,0.7925958245078475,10.946765978593097,59.55351280367695,84.83256730137886,12131,3046
AZT1D->AZT1D,30m,HistGBM,16.936647815990465,23.2229151154833,0.7962953505772726,10.742765426268056,59.684832567301385,85.45633617859488,12131,3046
AZT1D->AZT1D,30m,XGBoost,16.991170888594674,23.35049484053856,0.7940510182207335,10.794446333396573,59.55351280367695,84.70124753775443,12131,3046
AZT1D->AZT1D,30m,LSTM,18.786924704734663,25.223305874658493,0.7596901983162037,11.895330218279012,65.26592252133946,83.22390019697964,12131,3046
HUPA->HUPA,30m,LinearRegression,13.046265633446708,18.654103284712935,0.8921386735840111,10.516784959561264,74.348,85.356,50000,50000
HUPA->HUPA,30m,RandomForest,12.124796285243972,17.75289451341684,0.9023088217501367,9.846868576615552,76.02,86.198,50000,50000
HUPA->HUPA,30m,HistGBM,12.048514415158785,17.559529844458016,0.9044253382642299,9.806541314545122,76.078,86.502,50000,50000
HUPA->HUPA,30m,XGBoost,11.970939825194916,17.464145070924914,0.9054608565413504,9.731592250098348,76.058,86.482,50000,50000
HUPA->HUPA,30m,LSTM,13.361463784734926,18.79789775140189,0.8904693743129867,10.874381869733696,77.432,84.964,50000,50000
AZT1D->HUPA,30m,LinearRegression,16.209983742642898,21.777034348481145,0.8547644786433346,13.744307451451288,78.05199999999999,77.798,15177,50000
AZT1D->HUPA,30m,RandomForest,23.535563374706978,29.117488537211198,0.7403530639136946,19.797594078531848,86.60600000000001,65.098,15177,50000
AZT1D->HUPA,30m,HistGBM,22.375832921801404,27.444422340615947,0.7693340109760426,18.327311819583002,86.20400000000001,69.362,15177,50000
AZT1D->HUPA,30m,XGBoost,22.357666346894597,27.728421445802784,0.7645353759798714,18.671527782745894,85.81400000000001,69.85,15177,50000
AZT1D->HUPA,30m,LSTM,17.2549535945061,22.828843798177505,0.8403962067458425,15.952897285387746,79.632,73.626,15177,50000
HUPA->AZT1D,30m,LinearRegression,23.262995439899406,40.9332149218451,0.40121152135614513,13.69523011027537,61.93582394412598,79.0274757857284,50000,15177
HUPA->AZT1D,30m,RandomForest,18.876214908562222,26.39453169552423,0.7510284942895362,11.670038778466077,63.77413191012716,81.80141002833234,50000,15177
HUPA->AZT1D,30m,HistGBM,18.9474240935797,26.611387911288144,0.7469206121716959,11.50212573542137,66.58101073993544,82.15721157013903,50000,15177
HUPA->AZT1D,30m,XGBoost,19.118535147544485,26.713477781960698,0.7449750991236097,11.684067747531355,65.51360611451538,81.8079989457732,50000,15177
HUPA->AZT1D,30m,LSTM,22.684125498873172,40.323447417161816,0.41891852105560234,13.498620151906488,60.05139355603875,79.69954536469658,50000,15177
AZT1D->AZT1D,60m,LinearRegression,30.666224640159278,39.48473115996702,0.4333795066241376,20.36761731033148,65.71428571428571,63.152709359605915,12124,3045
AZT1D->AZT1D,60m,RandomForest,28.041819425023014,36.94417822573231,0.5039494579252388,18.516459825569463,65.32019704433498,66.10837438423646,12124,3045
AZT1D->AZT1D,60m,HistGBM,28.148235312959898,36.918240279002326,0.5046457525218345,18.565326800784316,64.95894909688013,65.94417077175697,12124,3045
AZT1D->AZT1D,60m,XGBoost,27.927649108842367,36.68585385988381,0.5108622623294559,18.362753332840253,64.76190476190476,66.30541871921183,12124,3045
AZT1D->AZT1D,60m,LSTM,30.13874219186541,38.8394476427424,0.4517482873217774,20.036654441724377,68.73563218390805,63.152709359605915,12124,3045
HUPA->HUPA,60m,LinearRegression,22.397304109560707,30.890132416890214,0.7054108294148962,18.35700689868802,80.41,67.748,50000,50000
HUPA->HUPA,60m,RandomForest,21.20102815127372,29.80709274759913,0.7257058940660307,17.547211732752658,80.134,70.362,50000,50000
HUPA->HUPA,60m,HistGBM,20.90101106192697,29.32458270632687,0.7345144309647645,17.359863583813425,80.55600000000001,70.596,50000,50000
HUPA->HUPA,60m,XGBoost,20.811915811912137,29.259229960367925,0.7356964343227025,17.251719136179233,80.388,70.794,50000,50000
HUPA->HUPA,60m,LSTM,22.33734433821765,30.828268973887038,0.7065895910518745,18.48328434675465,82.16799999999999,67.248,50000,50000
AZT1D->HUPA,60m,LinearRegression,27.381730847899608,35.13564990132064,0.6255513274854074,23.924497372506785,82.17,58.476,15169,50000
AZT1D->HUPA,60m,RandomForest,37.11859853075625,45.992961737254994,0.35837826501728365,31.908992460454456,90.22200000000001,44.654,15169,50000
AZT1D->HUPA,60m,HistGBM,34.058976060136544,42.76726956663231,0.445221833070361,29.62326683336942,90.956,50.89,15169,50000
AZT1D->HUPA,60m,XGBoost,35.11933829807191,43.85897661873445,0.41653702659549907,30.793691335402645,88.916,47.866,15169,50000
AZT1D->HUPA,60m,LSTM,30.956924951497772,38.80572404396165,0.5432401778931306,29.30197389510924,82.65,54.52,15169,50000
HUPA->AZT1D,60m,LinearRegression,36.701389917535025,53.410145812206956,-0.0023694578552906354,21.814529026559892,73.86116421649417,57.72298767222625,50000,15169
HUPA->AZT1D,60m,RandomForest,30.60908240592266,41.006272989454516,0.4091450269739514,19.38929391944064,65.88436943766894,63.484738611642165,50000,15169
HUPA->AZT1D,60m,HistGBM,32.287912985509415,43.54296224133575,0.33378218797171477,19.360147284490097,75.1203111609203,61.375173050299956,50000,15169
HUPA->AZT1D,60m,XGBoost,32.12780261614041,43.558187953490936,0.3333161923855179,19.204382413951745,75.79932757597733,61.6718307073637,50000,15169
HUPA->AZT1D,60m,LSTM,40.10022172746781,57.02297090705825,-0.1425625336718459,23.370769534471098,76.6497461928934,54.229019711253216,50000,15169
