experiment,horizon,model_1,model_2,better_model,mean_mae_1,mean_mae_2,p_value,significant_p05
AZT1D->AZT1D,30m,LinearRegression,RandomForest,RandomForest,20.33,19.411,0.0275,True
AZT1D->AZT1D,30m,LinearRegression,HistGBM,HistGBM,20.33,19.128,0.0018,True
AZT1D->AZT1D,30m,LinearRegression,XGBoost,XGBoost,20.33,19.284,0.0051,True
AZT1D->AZT1D,30m,LinearRegression,LSTM,LSTM,20.33,19.835,0.0393,True
AZT1D->AZT1D,30m,RandomForest,HistGBM,HistGBM,19.411,19.128,0.0903,False
AZT1D->AZT1D,30m,RandomForest,XGBoost,XGBoost,19.411,19.284,0.5782,False
AZT1D->AZT1D,30m,RandomForest,LSTM,RandomForest,19.411,19.835,0.2099,False
AZT1D->AZT1D,30m,HistGBM,XGBoost,HistGBM,19.128,19.284,0.4261,False
AZT1D->AZT1D,30m,HistGBM,LSTM,HistGBM,19.128,19.835,0.0516,False
AZT1D->AZT1D,30m,XGBoost,LSTM,XGBoost,19.284,19.835,0.0851,False
AZT1D->AZT1D,60m,LinearRegression,RandomForest,RandomForest,32.172,30.483,0.0016,True
AZT1D->AZT1D,60m,LinearRegression,HistGBM,HistGBM,32.172,30.214,0.0031,True
AZT1D->AZT1D,60m,LinearRegression,XGBoost,XGBoost,32.172,30.007,0.0004,True
AZT1D->AZT1D,60m,LinearRegression,LSTM,LSTM,32.172,31.618,0.0957,False
AZT1D->AZT1D,60m,RandomForest,HistGBM,HistGBM,30.483,30.214,0.3525,False
AZT1D->AZT1D,60m,RandomForest,XGBoost,XGBoost,30.483,30.007,0.0516,False
AZT1D->AZT1D,60m,RandomForest,LSTM,RandomForest,30.483,31.618,0.0296,True
AZT1D->AZT1D,60m,HistGBM,XGBoost,XGBoost,30.214,30.007,0.5077,False
AZT1D->AZT1D,60m,HistGBM,LSTM,HistGBM,30.214,31.618,0.0296,True
AZT1D->AZT1D,60m,XGBoost,LSTM,XGBoost,30.007,31.618,0.0105,True
AZT1D->HUPA,30m,LinearRegression,RandomForest,LinearRegression,19.272,25.707,0.0,True
AZT1D->HUPA,30m,LinearRegression,HistGBM,LinearRegression,19.272,25.129,0.0,True
